symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
NVDA,2019-03-21 00:00:00+00:00,183.94,185.0,175.13,175.33,20607767,45.6749914688,45.9382049675,43.4873396538,43.5370025781,82431068,0.0,1.0
NVDA,2019-03-22 00:00:00+00:00,177.5,184.8,176.94,182.84,18691087,44.0758453067,45.8885420432,43.9367891187,45.4018453852,74764348,0.0,1.0
NVDA,2019-03-25 00:00:00+00:00,173.78,178.45,171.11,175.86,13130301,43.1521149149,44.311744197,42.4891148756,43.6686093275,52521204,0.0,1.0
NVDA,2019-03-26 00:00:00+00:00,176.87,181.75,174.6,179.49,17587678,43.9194070952,45.1311824478,43.3557329045,44.5699914033,70350712,0.0,1.0
NVDA,2019-03-27 00:00:00+00:00,176.5,179.77,173.7,177.9,11859294,43.8275306852,44.6395194973,43.1322497452,44.1751711552,47437176,0.0,1.0
NVDA,2019-03-28 00:00:00+00:00,177.25,179.9,175.11,177.55,12006602,44.0137666513,44.6718003981,43.4823733614,44.0882610377,48026408,0.0,1.0
NVDA,2019-03-29 00:00:00+00:00,179.56,180.54,177.91,179.94,11422379,44.5873734268,44.8307217559,44.1776543015,44.681732983,45689516,0.0,1.0
NVDA,2019-04-01 00:00:00+00:00,182.28,183.5,180.37,183.26,12095612,45.2627891972,45.5657330353,44.7885082702,45.5061375262,48382448,0.0,1.0
NVDA,2019-04-02 00:00:00+00:00,183.0,184.79,181.52,183.25,11022996,45.4415757246,45.886058897,45.0740700849,45.50365438,44091984,0.0,1.0
NVDA,2019-04-03 00:00:00+00:00,188.62,191.0,184.8,185.0,19719468,46.8371038971,47.4280926962,45.8885420432,45.9382049675,78877872,0.0,1.0
NVDA,2019-04-04 00:00:00+00:00,188.26,189.97,185.73,188.0,11434419,46.7477106334,47.1723286361,46.1194746412,46.6831488318,45737676,0.0,1.0
NVDA,2019-04-05 00:00:00+00:00,190.95,191.65,188.53,190.0,12043649,47.4156769651,47.5894972001,46.8147555812,47.1797780747,48174596,0.0,1.0
NVDA,2019-04-08 00:00:00+00:00,191.79,192.8,188.75,189.72,10604848,47.6242612471,47.8750590148,46.8693847979,47.1102499807,42419392,0.0,1.0
NVDA,2019-04-09 00:00:00+00:00,189.26,190.89,187.56,190.44,10999320,46.9960252549,47.4007780878,46.5738903984,47.2890365082,43997280,0.0,1.0
NVDA,2019-04-10 00:00:00+00:00,192.1,193.14,189.05,189.23,11119307,47.7012387798,47.9594859861,46.9438791844,46.9885758162,44477228,0.0,1.0
NVDA,2019-04-11 00:00:00+00:00,191.54,193.47,189.55,192.2,9365037,47.5621825918,48.0414298112,47.0680364951,47.7260702419,37460148,0.0,1.0
NVDA,2019-04-12 00:00:00+00:00,190.01,193.26,189.66,193.1,11792664,47.182261221,47.9892837407,47.0953511034,47.9495534012,47170656,0.0,1.0
NVDA,2019-04-15 00:00:00+00:00,184.7,189.9,183.1,189.7,11002345,45.8637105811,47.1549466126,45.4664071868,47.1052836883,44009380,0.0,1.0
NVDA,2019-04-16 00:00:00+00:00,188.21,188.97,184.96,186.28,9874091,46.7352949024,46.9240140147,45.9282723827,46.256047683,39496364,0.0,1.0
NVDA,2019-04-17 00:00:00+00:00,187.29,190.46,186.39,189.62,8775068,46.5068454506,47.2940028006,46.2833622913,47.0854185186,35100272,0.0,1.0
NVDA,2019-04-18 00:00:00+00:00,186.3,188.93,185.18,187.56,9524704,46.2610139754,46.9140814298,45.9829015994,46.5738903984,38098816,0.0,1.0
NVDA,2019-04-22 00:00:00+00:00,188.47,189.1,184.08,185.35,6998388,46.7998567039,46.9562949154,45.7097555158,46.025115085,27993552,0.0,1.0
